time,sn,VOCs_1,VOCs_2
2021-01-13 17:12:18,B616-104A,1348.1,8.1
2021-01-13 17:12:18,B616-1048,1723.2,1403.3
2021-01-13 17:12:18,BD00-02A7,22.6,6553.5
2021-01-13 17:12:18,B616-106D,1044.2,1013.9
2021-01-13 17:12:18,B616-106D,1046.9,1016.5
2021-01-13 17:12:18,F000-F173,1.6,6553.5
2021-01-13 17:12:18,B616-106C,818.1,908.3
2021-01-13 17:12:18,B616-1042,1959.7,2000.1
2021-01-13 17:12:18,BD00-02A2,13.8,8.7
2021-01-13 17:12:18,B616-1054,6.1,1135.6
2021-01-13 17:12:18,C216-1006,1672.2,1029.1
2021-01-13 17:12:18,B616-1036,1956.8,2190.7
2021-01-13 17:12:18,BD00-02A1,464.1,6553.5
2021-01-13 17:12:19,BD00-02AA,24.1,6553.5
2021-01-13 17:12:19,B616-1043,708.4,1047.2
2021-01-13 17:12:19,B616-1035,1456.3,1912.5
2021-01-13 17:12:19,BD00-01F2,1403.9,2149.4
2021-01-13 17:12:19,BD00-02B4,19.8,6553.5
2021-01-13 17:12:19,F000-F367,1204.1,11.0
2021-01-13 17:12:19,F000-F406,1175.4,1299.2
2021-01-13 17:12:19,B616-106F,310.4,636.7
2021-01-13 17:12:19,BD00-02B5,19.5,6553.5
2021-01-13 17:12:19,B616-1029,2223.9,1817.9
2021-01-13 17:12:19,C216-1008,914.1,1302.5
2021-01-13 17:12:19,B616-100E,6553.5,6553.5
2021-01-13 17:12:19,BD00-02A8,18.2,8.8
2021-01-13 17:12:19,C216-1002,1092.4,1123.3
2021-01-13 17:12:19,BD00-02B1,20.4,6553.5
2021-01-13 17:12:19,BD00-02B8,22.5,6553.5
2021-01-13 17:12:19,B616-1015,1669.5,1257.6
2021-01-13 17:12:19,B616-106D,1038.3,1009.7
2021-01-13 17:12:19,B616-1051,1229.4,1870.0
2021-01-13 17:12:19,BD00-02AE,41.1,6553.5
2021-01-13 17:12:19,F000-F308,979.6,6553.5
2021-01-13 17:12:19,BD00-02B3,262.2,8.3
2021-01-13 17:12:19,B616-1031,978.4,1048.2
2021-01-13 17:12:20,BD00-02B7,21.8,6553.5
2021-01-13 17:12:20,F000-F40B,19.6,19.2
2021-01-13 17:12:20,B616-1028,2260.5,8.1
2021-01-13 17:12:20,BD00-0162,6553.5,6553.5
2021-01-13 17:12:20,B616-102D,1592.7,1454.6
2021-01-13 17:12:20,B616-101C,1875.8,1787.6
2021-01-13 17:12:20,B616-104C,1631.7,1761.1
2021-01-13 17:12:20,BD00-02A3,404.6,6553.5
2021-01-13 17:12:20,BD00-02B2,21.9,6553.5
2021-01-13 17:12:20,B616-103C,1503.0,427.6
2021-01-13 17:12:20,BD00-02A9,24.9,6553.5
2021-01-13 17:12:20,B616-103F,1575.1,1657.6
2021-01-13 17:12:20,F000-F405,1465.7,1382.4
2021-01-13 17:12:20,BD00-02AB,23.7,8.8
2021-01-13 17:12:20,B616-102E,969.0,1183.9
2021-01-13 17:12:20,BD00-02B9,6553.5,6553.5
2021-01-13 17:12:20,B616-102A,1535.1,1191.9
2021-01-13 17:12:20,B616-1039,658.8,1154.6
2021-01-13 17:12:20,BD00-02BA,19.2,422.0
2021-01-13 17:12:20,B616-1045,2057.0,1638.5
2021-01-13 17:12:20,B616-1041,1902.7,915.6
2021-01-13 17:12:20,B616-1024,1505.9,2387.9
2021-01-13 17:12:20,B616-101E,1268.0,1031.4
2021-01-13 17:12:20,F000-F40A,291.6,27.0
2021-01-13 17:12:21,BD00-02AF,20.7,6553.5
2021-01-13 17:12:21,B616-1040,45.4,28.9
2021-01-13 17:12:21,F000-F308,977.9,6553.5
2021-01-13 17:12:21,B616-1055,1105.3,1200.5
2021-01-13 17:12:21,BD00-02AC,26.6,8.9
2021-01-13 17:12:21,BD00-02B0,24.8,6553.5
2021-01-13 17:12:21,B616-1025,1210.0,1412.6
2021-01-13 17:12:21,B616-1020,11.0,1853.8
2021-01-13 17:12:21,BD00-02AD,21.5,314.4
2021-01-13 17:12:21,BD00-02A5,6553.5,6553.5
2021-01-13 17:12:21,BD00-02B6,19.1,6553.5
