time,sn,VOCs_1,VOCs_2
2021-01-13 18:39:59,B616-1031,909.0,970.2
2021-01-13 18:39:59,BD00-02AD,19.4,314.4
2021-01-13 18:39:59,C216-1001,1794.7,1325.2
2021-01-13 18:39:59,B616-1035,1350.8,1886.7
2021-01-13 18:39:59,B616-1040,36.2,21.9
2021-01-13 18:39:59,B616-1021,352.3,1086.6
2021-01-13 18:39:59,BD00-02F9,6553.5,6553.5
2021-01-13 18:39:59,BD00-02AF,16.6,6553.5
2021-01-13 18:39:59,B616-101D,874.3,8.1
2021-01-13 18:39:59,BD00-02B5,19.7,6553.5
2021-01-13 18:39:59,F000-F367,1085.0,11.0
2021-01-13 18:39:59,BD00-02B2,20.6,6553.5
2021-01-13 18:39:59,F000-F405,1532.3,1498.7
2021-01-13 18:39:59,BD00-02AB,21.0,8.4
2021-01-13 18:39:59,B616-103F,1237.9,1491.2
2021-01-13 18:39:59,B616-1048,1709.5,1345.5
2021-01-13 18:39:59,BD00-02B1,17.4,6553.5
2021-01-13 18:39:59,B616-106D,869.5,864.7
2021-01-13 18:39:59,C216-1009,1291.7,1120.8
2021-01-13 18:40:00,BD00-02B4,20.5,6553.5
2021-01-13 18:40:00,BD00-0162,6553.5,6553.5
2021-01-13 18:40:00,C216-0021,93.1,6553.5
2021-01-13 18:40:00,B616-1059,1280.2,1730.9
2021-01-13 18:40:00,B616-1018,1870.0,992.4
2021-01-13 18:40:00,B616-1057,2103.8,1792.0
2021-01-13 18:40:00,BD00-02A5,6553.5,6553.5
2021-01-13 18:40:00,B616-1053,1443.4,1314.1
2021-01-13 18:40:00,F000-F406,1233.9,1256.5
2021-01-13 18:40:00,B616-102C,1424.5,1405.0
2021-01-13 18:40:00,BD00-02B9,6553.5,6553.5
2021-01-13 18:40:00,C216-1003,1033.6,1181.6
2021-01-13 18:40:00,B616-1054,11.0,1126.5
2021-01-13 18:40:00,BD00-02A6,17.0,6553.5
2021-01-13 18:40:00,B616-100E,6553.5,6553.5
2021-01-13 18:40:00,B616-1039,505.3,832.7
2021-01-13 18:40:00,B616-1043,717.2,993.1
2021-01-13 18:40:00,C216-100A,838.3,781.9
2021-01-13 18:40:00,B616-1044,846.9,885.7
2021-01-13 18:40:00,B616-1045,2087.3,1575.9
2021-01-13 18:40:00,BD00-02AE,42.4,6553.5
2021-01-13 18:40:00,B616-1025,1005.2,1211.7
2021-01-13 18:40:00,B616-1027,1270.8,1298.4
2021-01-13 18:40:00,B616-1017,301.3,8.1
2021-01-13 18:40:00,B616-1012,1388.1,1521.3
2021-01-13 18:40:00,BD00-02BA,20.2,422.0
2021-01-13 18:40:01,BD00-02A1,410.4,6553.5
2021-01-13 18:40:01,B616-101F,2059.6,2191.1
2021-01-13 18:40:01,C216-100B,1002.2,1055.7
2021-01-13 18:40:01,BD00-02B0,16.2,6553.5
2021-01-13 18:40:01,B616-1024,1466.4,2338.9
2021-01-13 18:40:01,BD00-02B6,5.3,6553.5
2021-01-13 18:40:01,B616-104C,1654.7,1793.6
2021-01-13 18:40:01,BD00-02A3,423.5,6553.5
2021-01-13 18:40:01,B616-1042,2130.3,2236.9
2021-01-13 18:40:01,B616-1022,1888.3,1143.4
2021-01-13 18:40:01,B616-106B,459.2,969.5
2021-01-13 18:40:01,B616-1029,2262.2,1904.0
2021-01-13 18:40:01,B616-1047,1560.8,1410.4
2021-01-13 18:40:01,B616-103C,1441.9,419.9
2021-01-13 18:40:01,B616-102A,1568.2,1246.1
2021-01-13 18:40:01,C216-1006,1678.8,1244.7
2021-01-13 18:40:01,BD00-02A7,22.6,6553.5
2021-01-13 18:40:01,BD00-02A8,18.3,8.6
2021-01-13 18:40:01,BD00-02A2,14.2,8.5
2021-01-13 18:40:01,BD00-02B3,258.4,7.8
2021-01-13 18:40:01,F000-F40A,235.3,20.9
2021-01-13 18:40:02,B616-101E,1070.8,882.4
2021-01-13 18:40:02,BD00-02AA,23.7,6553.5
2021-01-13 18:40:02,F000-F40B,20.2,19.0
2021-01-13 18:40:02,BD00-02AF,16.8,6553.5
2021-01-13 18:40:02,BD00-02AC,24.6,8.8
2021-01-13 18:40:02,B616-1031,913.0,975.1
2021-01-13 18:40:02,B616-1040,36.2,21.9
2021-01-13 18:40:02,B616-1035,1338.3,1870.6
2021-01-13 18:40:02,BD00-02AD,20.4,314.4
2021-01-13 18:40:02,BD00-02F9,6553.5,6553.5
2021-01-13 18:40:02,B616-1021,352.8,1086.9
2021-01-13 18:40:02,BD00-02B2,20.9,6553.5
2021-01-13 18:40:02,BD00-02B7,18.6,6553.5
2021-01-13 18:40:02,BD00-02B5,19.8,6553.5
2021-01-13 18:40:02,F000-F367,1096.8,11.0
2021-01-13 18:40:02,B616-103F,1236.5,1490.8
2021-01-13 18:40:02,F000-F405,1523.4,1477.9
2021-01-13 18:40:02,BD00-02B1,17.6,6553.5
2021-01-13 18:40:02,B616-101D,874.8,8.1
2021-01-13 18:40:02,B616-1048,1708.2,1344.8
2021-01-13 18:40:02,B616-106D,850.4,845.4
2021-01-13 18:40:02,BD00-01F2,1498.4,2146.6
2021-01-13 18:40:02,B616-1018,1861.8,986.4
2021-01-13 18:40:03,BD00-02A3,427.4,6553.5
2021-01-13 18:40:03,B616-1057,2121.7,1809.4
2021-01-13 18:40:03,B616-1059,1282.3,1733.5
2021-01-13 18:40:03,F000-F406,1245.8,1270.4
2021-01-13 18:40:03,BD00-02A5,6553.5,6553.5
2021-01-13 18:40:03,BD00-02AB,21.7,8.3
2021-01-13 18:40:03,C216-1002,995.2,1140.8
2021-01-13 18:40:03,B616-1054,11.0,1124.8
2021-01-13 18:40:03,B616-102C,1442.8,1413.2
2021-01-13 18:40:03,B616-100E,6553.5,6553.5
2021-01-13 18:40:03,BD00-02A6,17.5,6553.5
2021-01-13 18:40:03,B616-1043,717.5,991.0
2021-01-13 18:40:03,B616-1044,851.1,889.9
2021-01-13 18:40:03,B616-1045,2072.8,1567.8
2021-01-13 18:40:03,B616-1027,1253.0,1274.0
2021-01-13 18:40:03,B616-1012,1384.7,1519.7
2021-01-13 18:40:03,BD00-02BA,20.5,422.0
2021-01-13 18:40:03,C216-1005,1054.0,960.5
2021-01-13 18:40:03,B616-1017,301.6,8.1
2021-01-13 18:40:04,BD00-02A1,417.6,6553.5
2021-01-13 18:40:04,B616-1025,1010.2,1226.4
2021-01-13 18:40:04,B616-101F,2035.0,2175.7
2021-01-13 18:40:04,BD00-02B7,17.9,6553.5
2021-01-13 18:40:04,BD00-02B0,16.5,6553.5
2021-01-13 18:40:04,B616-1024,1470.6,2343.1
2021-01-13 18:40:04,BD00-02B6,4.1,6553.5
2021-01-13 18:40:04,B616-104C,1690.6,1830.2
2021-01-13 18:40:04,B616-1022,1888.5,1145.2
2021-01-13 18:40:04,B616-1042,2160.4,2265.4
2021-01-13 18:40:04,B616-106B,464.5,974.7
2021-01-13 18:40:04,F000-F173,1.6,6553.5
2021-01-13 18:40:04,B616-103C,1442.2,419.7
2021-01-13 18:40:04,BD00-02A9,25.7,6553.5
2021-01-13 18:40:04,B616-102A,1559.0,1235.9
2021-01-13 18:40:04,BD00-02AC,24.8,8.8
2021-01-13 18:40:04,F000-F40A,236.0,21.0
2021-01-13 18:40:05,B616-101E,1068.3,879.1
2021-01-13 18:40:05,B616-1031,909.0,971.3
